# Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes,Latitude,Longitude
AB,"Aberdeen",499692,218798,38425,16883,0,57.3011,-2.30796
AL,"St Albans",249911,99209,11192,7706,0,51.7755,-0.284091
B,"Birmingham",1904293,750842,60299,41457,0,52.4652,-1.88895
BA,"Bath",434539,183530,19504,14942,0,51.2295,-2.41721
BB,"Blackburn",488564,202015,18537,13090,0,53.7871,-2.33367
BD,"Bradford",578374,223952,23008,16926,12,53.8286,-1.82849
BH,"Bournemouth",552110,242907,21847,15137,0,50.7503,-1.89078
BL,"Bolton",379929,159979,13742,10287,0,53.5868,-2.40781
BN,"Brighton",802838,356367,34316,21993,1,50.8288,-0.119856
BR,"Bromley",299157,124954,10431,6888,0,51.3944,0.0424829
BS,"Bristol",940076,398197,44596,26579,0,51.4488,-2.62258
BT,"Northern Ireland",1772429,687553,51734,51734,0,54.6098,-6.3606
CA,"Carlisle",318114,140587,15960,12506,0,54.7317,-3.10903
CB,"Cambridge",421151,167640,18740,10321,0,52.2066,0.189076
CF,"Cardiff",1005305,419896,41835,23209,0,51.5345,-3.29347
CH,"Chester",659880,285880,23831,18643,0,53.2906,-3.02024
CM,"Chelmsford",653626,270044,26525,17599,0,51.7577,0.404456
CO,"Colchester",411411,176939,17537,12965,0,51.9031,0.924511
CR,"Croydon",405236,158695,14342,8009,0,51.356,-0.103129
CT,"Canterbury",482627,206290,19325,14693,0,51.2559,1.23174
CV,"Coventry",821033,341504,27423,19831,0,52.3678,-1.50156
CW,"Crewe",309487,130803,13538,9232,0,53.1551,-2.45021
DA,"Dartford",430139,173329,12510,8930,0,51.4422,0.219949
DD,"Dundee",280568,128312,11136,8895,0,56.5369,-2.86441
DE,"Derby",730125,306586,29464,16865,0,52.9334,-1.4909
DG,"Dumfries and Galloway",151139,67885,7664,6813,0,55.0226,-3.88126
DH,"Durham",309030,132814,11287,8913,0,54.825,-1.61414
DL,"Darlington",360734,156814,16404,13174,0,54.533,-1.66028
DN,"Doncaster",756058,320303,27360,21487,0,53.5411,-0.719893
DT,"Dorchester",212796,93053,9587,7739,0,50.7548,-2.48318
DY,"Dudley",410847,171692,14271,10976,0,52.4536,-2.17695
E,"East London",989043,370613,27343,16219,0,51.5435,-0.0157914
EC,"Central London",33956,17102,12434,3899,0,51.5187,-0.0967174
EH,"Edinburgh",868113,389353,31614,24114,0,55.9265,-3.22819
EN,"Enfield",344780,137907,12821,8562,61,51.6816,-0.0863257
EX,"Exeter",547401,235895,27944,21973,0,50.8267,-3.65582
FK,"Falkirk and Stirling",276371,119790,9478,7672,0,56.0772,-3.85928
FY,"Blackpool",276593,125986,9883,7250,0,53.825,-3.02281
